School,Conf,Coach, NCAAFBREV16 ,MedianConfSal, SchoolPay , TotalPay , Bonus , BonusPaid , PayPlusBonus2016 , StadSize , Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Utah State,Mt. West,Matt Wells,34398296,879288,900000,900000,765000,65000,965000,25513,78,15,79,45,92,3,9,0.333333333,-4.63,-1.35,-5.99,69.88
Vanderbilt,SEC,Derek Mason,,3929800,2812523,2812523,,,2812523,40350,68,53,28,54,79,6,7,0.857142857,-2.05,5.26,3.21,72.09
Virginia,ACC,Bronco Mendenhall,92865175,2458033,3550000,3550000,2165000,75000,3625000,61500,85,88,107,96,18,2,10,0.2,-4.34,-3.91,-8.25,70.74
Virginia Tech,ACC,Justin Fuente,87427526,2458033,4000000,4000000,435000,75000,4075000,66233,86,98,114,105,12,10,4,2.5,4.26,6.74,11,82.68
Wake Forest,ACC,Dave Clawson,,2458033,1831580,1831580,,,1831580,31500,78,35,79,58,75,7,6,1.166666667,-4.32,5.04,0.73,69.97
Washington,Pac-12,Chris Petersen,128745183,2752233,4375000,4377500,1050000,300000,4677500,70500,93,103,121,111,6,12,2,6,7.59,12.39,19.98,88.28
Washington State,Pac-12,Mike Leach,64294520,2752233,3500000,3500000,725000,75000,3575000,32248,93,37,121,83,37,8,5,1.6,5.7,3.33,9.03,84.22
West Virginia,Big 12,Dana Holgorsen,110565870,3775000,3605000,3617500,1000000,90000,3707500,60000,66,82,20,66,62,10,3,3.333333333,4.01,5.56,9.57,78.75
Western Michigan,MAC,Tim Lester,38516531,492413,800000,800000,346500,39250,839250,30200,74,26,60,39,100,13,1,13,7.61,4.42,12.03,86.24
Wisconsin,Big Ten,Paul Chryst,143420668,3775000,3750000,3750000,,290000,4040000,80321,71,112,40,84,32,11,3,3.666666667,2.13,13.17,15.3,78.74
Wyoming,Mt. West,Craig Bohl,40372222,879288,1412000,1412000,450000,236000,1648000,29181,97,19,125,66,59,8,6,1.333333333,9.04,-7.68,1.37,81.23
