School,Conf,Coach,NCAAFBREV16 ,MedianConfSal,SchoolPay,TotalPay,BonusMax,PayPlusBonus,StadSize, Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
South Carolina,SEC,Will Muschamp,136032845,3929800,2157.164869,2157.164869,719.0549563,2208.525937,80250,40,111,3,73,50,6,7,0.857142857,-5.88,4.97,-0.91,68.17
South Florida,AAC,Charlie Strong,49960338,2458033,513.6106831,513.6106831,418.5927067,549.5634309,65890,70,97,34,59,74,11,2,5.5,14,-6.16,7.83,90.21
Southern California,Pac-12,Clay Helton,113000000,2752233,1348.723677,1348.723677,0,1348.723677,93607,63,122,15,71,53,,,,,,,
Southern Methodist,AAC,Sonny Dykes,,2458033,0,0,0,0,32000,75,36,67,35,107,,,,,,,
Stanford,Pac-12,David Shaw,112000000,2752233,2214.454545,2214.454545,0,2214.454545,50000,67,64,22,64,68,10,3,3.333333333,0.01,12.54,12.54,73.09
Syracuse,ACC,Dino Babers,,2458033,1233.285054,1233.285054,0,1233.285054,49250,80,63,87,73,49,4,8,0.5,0.08,-4.59,-4.51,75.51
Temple,AAC,Geoff Collins,,2458033,0,0,0,0,68532,82,101,93,65,65,10,4,2.5,2,6.96,8.97,78.15
Tennessee,SEC,Jeremy Pruitt,145653191,3929800,0,0,616.3328197,1975.346687,102455,83,126,97,107,10,9,4,2.25,11.58,-0.99,10.59,88.42
Texas,Big 12,Tom Herman,214830647,3775000,2824.858757,2824.858757,372.3677452,2863.379558,100119,77,123,75,105,11,5,7,0.714285714,3.16,-1.41,1.75,77.22
Texas A&M,SEC,Jimbo Fisher,211960034,3929800,3852.080123,3852.080123,693.3744222,3852.080123,102733,77,127,75,108,7,8,5,1.6,5.4,3.37,8.77,84.98
Texas Christian,Big 12,Gary Patterson,,3775000,2486.243965,2486.243965,0,2486.243965,50000,68,64,28,67,57,6,7,0.857142857,1.88,0.74,2.63,77.84
Texas State,Sun Belt,Everett Withers,38445832,675000,359.5274782,359.5274782,36.38058552,359.5274782,30000,53,20,8,18,125,2,10,0.2,-9.6,-9.26,-18.86,63
